# x	AxA	BxB	3Ax4B	4Ax3B
-7.910399999999979627e+03 9.999999215016960319e-01 1.000000096059317611e+00 9.999999718730434584e-01 9.999999826464087693e-01
-7.908799999999979264e+03 9.999999388485013574e-01 1.000000137215016238e+00 9.999999602991731518e-01 9.999999370660324072e-01
-7.907199999999978900e+03 9.999999660801180967e-01 1.000000170221436280e+00 9.999999374358972126e-01 9.999999139051595209e-01
-7.905599999999978536e+03 9.999999644705102053e-01 1.000000178590214839e+00 9.999999918603074134e-01 9.999999206703544807e-01
-7.903999999999978172e+03 9.999999750471680882e-01 1.000000169893226376e+00 1.000000062153723723e+00 9.999999462112489912e-01
-7.902399999999977808e+03 9.999999765467869617e-01 1.000000140814970351e+00 1.000000113275712144e+00 9.999999672415271768e-01
-7.900799999999977445e+03 9.999999884603884004e-01 1.000000119715903857e+00 1.000000134323235201e+00 9.999999663326688548e-01
-7.899199999999977081e+03 1.000000004503532658e+00 1.000000103018992448e+00 1.000000159638834152e+00 9.999999621355479817e-01
-7.897599999999976717e+03 9.999999976424394088e-01 1.000000112811322728e+00 1.000000181449834713e+00 9.999999776877721569e-01
-7.895999999999976353e+03 1.000000024293764778e+00 1.000000096710325748e+00 1.000000160919466641e+00 1.000000009448509974e+00
-7.894399999999975989e+03 1.000000020871445017e+00 1.000000065167440333e+00 1.000000125254222771e+00 1.000000039148707831e+00
-7.892799999999975626e+03 9.999999828467674989e-01 1.000000011965782365e+00 1.000000058294767236e+00 1.000000045435944784e+00
-7.891199999999975262e+03 9.999999350603292481e-01 9.999999706241378128e-01 1.000000013849661418e+00 1.000000054330975052e+00
-7.889599999999974898e+03 9.999998868258888063e-01 9.999999292404452289e-01 9.999999572472832998e-01 1.000000076195703524e+00
-7.887999999999974534e+03 9.999998837323501588e-01 9.999998926736188842e-01 9.999998965519629746e-01 1.000000103785125827e+00
-7.886399999999974170e+03 9.999999044422670513e-01 9.999998662053914966e-01 9.999998680898086745e-01 1.000000119362420170e+00
-7.884799999999973807e+03 9.999999316696895901e-01 9.999998417809374818e-01 9.999999020939049910e-01 1.000000122425276583e+00
-7.883199999999973443e+03 9.999999105369778984e-01 9.999998436653854128e-01 9.999999449279572961e-01 1.000000119204557336e+00
-7.881599999999973079e+03 9.999998835403364206e-01 9.999998642079379607e-01 9.999999743155272292e-01 1.000000100394370373e+00
-7.879999999999972715e+03 9.999998917629350226e-01 9.999998929237785550e-01 9.999999882203357560e-01 1.000000078050981234e+00
-7.878399999999972351e+03 9.999999429562324016e-01 9.999999224982663026e-01 9.999999915204321743e-01 1.000000052599894440e+00
